25 kb,,,,,,,
With TAD boundary,1266,895,371,895,895,5434,1790
Without TAD boundary,7776,5434,2342,5434,895,5434,1790
Total,9042,6329,2713,6329,1790,10868,3580
50 kb,,,,,,,
With TAD boundary,621,431,190,431,431,2747,862
Without TAD boundary,3920,2747,1173,2747,431,2747,862
Total,4541,3178,1363,3178,862,5494,1724
100 kb,,,,,,,
With TAD boundary,277,185,92,185,185,1410,370
Without TAD boundary,2002,1410,592,1410,185,1410,370
Total,2279,1595,684,1595,370,2820,740
